date,state_name,state_fips_code,confirmed_cases,deaths
2020-03-15,Guam,66,3,0
2020-03-16,Guam,66,3,0
2020-03-17,Guam,66,3,0
2020-03-18,Guam,66,8,0
2020-03-19,Guam,66,12,0
2020-03-20,Guam,66,14,0
2020-03-21,Guam,66,15,0
2020-03-22,Guam,66,27,1
2020-03-23,Guam,66,29,1
2020-03-24,Guam,66,32,1
2020-03-25,Guam,66,32,1
2020-03-26,Guam,66,49,1
2020-03-27,Guam,66,53,1
2020-03-28,Guam,66,57,1
2020-03-29,Guam,66,58,1
2020-03-30,Guam,66,60,1
2020-03-31,Guam,66,139,2
2020-04-01,Guam,66,147,3
2020-04-02,Guam,66,152,3
2020-04-03,Guam,66,154,4
2020-04-04,Guam,66,223,4
2020-04-05,Guam,66,265,4
2020-04-06,Guam,66,266,4
2020-04-07,Guam,66,274,4
2020-04-08,Guam,66,409,4
2020-04-09,Guam,66,542,4
2020-04-10,Guam,66,577,4
2020-04-11,Guam,66,681,5
2020-04-12,Guam,66,716,5
2020-04-13,Guam,66,719,6
2020-04-14,Guam,66,721,6
2020-04-15,Guam,66,750,6
2020-04-16,Guam,66,790,6
2020-04-17,Guam,66,796,6
2020-04-18,Guam,66,805,6
2020-04-19,Guam,66,808,6
2020-04-20,Guam,66,811,6
2020-04-21,Guam,66,852,6
2020-04-22,Guam,66,911,6
2020-04-23,Guam,66,979,6
2020-04-24,Guam,66,997,6
2020-04-25,Guam,66,997,6
2020-04-26,Guam,66,997,6
2020-04-27,Guam,66,1113,6
2020-04-28,Guam,66,1114,6
2020-04-29,Guam,66,1114,6
2020-04-30,Guam,66,1115,6
2020-05-01,Guam,66,1115,6
2020-05-02,Guam,66,1117,6
2020-05-03,Guam,66,1118,6
2020-05-04,Guam,66,1118,6
2020-05-05,Guam,66,1118,6
2020-05-06,Guam,66,1118,6
2020-05-07,Guam,66,1118,6
2020-05-08,Guam,66,1120,6
2020-05-09,Guam,66,1120,6
2020-05-10,Guam,66,1120,6
2020-05-11,Guam,66,1120,6
2020-05-12,Guam,66,1121,6
2020-05-13,Guam,66,1121,6
2020-05-14,Guam,66,1121,6
2020-05-15,Guam,66,1123,6
2020-05-16,Guam,66,1123,6
2020-05-17,Guam,66,1123,6
2020-05-18,Guam,66,1123,6
2020-05-19,Guam,66,1123,6
2020-05-20,Guam,66,1134,6
2020-05-21,Guam,66,1134,6
2020-05-22,Guam,66,1134,6
2020-05-23,Guam,66,1134,6
2020-05-24,Guam,66,1135,6
2020-05-25,Guam,66,1135,6
2020-05-26,Guam,66,1139,6
2020-05-27,Guam,66,1140,6
2020-05-28,Guam,66,1141,6
2020-05-29,Guam,66,1141,6
2020-05-30,Guam,66,1141,6
2020-05-31,Guam,66,1144,6
2020-06-01,Guam,66,1144,6
2020-06-02,Guam,66,1146,6
2020-06-03,Guam,66,1146,6
2020-06-04,Guam,66,1148,6
2020-06-05,Guam,66,1148,6
2020-06-06,Guam,66,1148,6
2020-06-07,Guam,66,1148,6
2020-06-08,Guam,66,1149,6
2020-06-09,Guam,66,1149,6
2020-06-10,Guam,66,1149,6
2020-06-11,Guam,66,1152,6
2020-06-12,Guam,66,1153,6
2020-06-13,Guam,66,1154,6
2020-06-14,Guam,66,1154,6
2020-06-15,Guam,66,1155,6
2020-06-16,Guam,66,1155,6
2020-06-17,Guam,66,1157,6
2020-06-18,Guam,66,1162,6
2020-06-19,Guam,66,1169,6
2020-03-08,Iowa,19,3,0
2020-03-09,Iowa,19,8,0
2020-03-10,Iowa,19,13,0
2020-03-11,Iowa,19,14,0
2020-03-12,Iowa,19,16,0
2020-03-13,Iowa,19,17,0
2020-03-14,Iowa,19,18,0
2020-03-15,Iowa,19,22,0
2020-03-16,Iowa,19,22,0
2020-03-17,Iowa,19,29,0
2020-03-18,Iowa,19,38,0
2020-03-19,Iowa,19,44,0
2020-03-20,Iowa,19,45,0
2020-03-21,Iowa,19,68,0
2020-03-22,Iowa,19,90,0
2020-03-23,Iowa,19,105,0
2020-03-24,Iowa,19,124,1
2020-03-25,Iowa,19,145,1
2020-03-26,Iowa,19,179,1
2020-03-27,Iowa,19,235,3
2020-03-28,Iowa,19,298,3
2020-03-29,Iowa,19,336,4
2020-03-30,Iowa,19,424,6
2020-03-31,Iowa,19,498,7
2020-04-01,Iowa,19,549,9
2020-04-02,Iowa,19,614,11
2020-04-03,Iowa,19,699,11
2020-04-04,Iowa,19,786,11
2020-04-05,Iowa,19,868,22
2020-04-06,Iowa,19,946,25
2020-04-07,Iowa,19,1048,26
2020-04-08,Iowa,19,1145,27
2020-04-09,Iowa,19,1270,27
2020-04-10,Iowa,19,1388,31
2020-04-11,Iowa,19,1510,34
2020-04-12,Iowa,19,1587,41
2020-04-13,Iowa,19,1710,44
2020-04-14,Iowa,19,1899,44
2020-04-15,Iowa,19,1995,53
2020-04-16,Iowa,19,2141,60
2020-04-17,Iowa,19,2332,64
2020-04-18,Iowa,19,2513,74
2020-04-19,Iowa,19,2915,75
2020-04-20,Iowa,19,3175,79
2020-04-21,Iowa,19,3641,83
2020-04-22,Iowa,19,3764,90
2020-04-23,Iowa,19,3939,96
2020-04-24,Iowa,19,4459,107
2020-04-25,Iowa,19,5109,112
2020-04-26,Iowa,19,5490,118
2020-04-27,Iowa,19,5868,127
2020-04-28,Iowa,19,6376,136
2020-04-29,Iowa,19,6843,148
2020-04-30,Iowa,19,7145,162
2020-05-01,Iowa,19,7883,170
2020-05-02,Iowa,19,8641,175
2020-05-03,Iowa,19,9169,184
2020-05-04,Iowa,19,9703,188
2020-05-05,Iowa,19,10111,207
2020-05-06,Iowa,19,10404,219
2020-05-07,Iowa,19,11059,231
2020-05-08,Iowa,19,11457,243
2020-05-09,Iowa,19,11671,252
2020-05-10,Iowa,19,11959,265
2020-05-11,Iowa,19,12373,271
2020-05-12,Iowa,19,12912,289
2020-05-13,Iowa,19,13289,306
2020-05-14,Iowa,19,13675,318
2020-05-15,Iowa,19,14049,336
2020-05-16,Iowa,19,14328,346
2020-05-17,Iowa,19,14651,351
2020-05-18,Iowa,19,14955,355
2020-05-19,Iowa,19,15296,367
2020-05-20,Iowa,19,15868,400
2020-05-21,Iowa,19,16170,414
2020-05-22,Iowa,19,16510,441
2020-05-23,Iowa,19,16898,446
2020-05-24,Iowa,19,17434,456
2020-05-25,Iowa,19,17628,460
2020-05-26,Iowa,19,17999,480
2020-05-27,Iowa,19,18446,496
2020-05-28,Iowa,19,18672,510
2020-05-29,Iowa,19,19019,525
2020-05-30,Iowa,19,19336,531
2020-05-31,Iowa,19,19621,537
2020-06-01,Iowa,19,19789,558
2020-06-02,Iowa,19,20017,564
2020-06-03,Iowa,19,20376,574
2020-06-04,Iowa,19,20943,590
2020-06-05,Iowa,19,21332,597
2020-06-06,Iowa,19,21527,602
2020-06-07,Iowa,19,21794,606
2020-06-08,Iowa,19,22111,623
2020-06-09,Iowa,19,22271,629
2020-06-10,Iowa,19,22733,638
2020-06-11,Iowa,19,23103,641
2020-06-12,Iowa,19,23455,650
2020-06-13,Iowa,19,23792,651
2020-06-14,Iowa,19,23959,652
2020-06-15,Iowa,19,24110,661
2020-06-16,Iowa,19,24263,670
2020-06-17,Iowa,19,24616,677
2020-06-18,Iowa,19,24959,680
2020-06-19,Iowa,19,25424,681
2020-03-09,Ohio,39,3,0
2020-03-10,Ohio,39,3,0
2020-03-11,Ohio,39,4,0
2020-03-12,Ohio,39,5,0
2020-03-13,Ohio,39,13,0
2020-03-14,Ohio,39,26,0
2020-03-15,Ohio,39,37,0
2020-03-16,Ohio,39,50,0
2020-03-17,Ohio,39,67,0
2020-03-18,Ohio,39,90,0
2020-03-19,Ohio,39,120,0
2020-03-20,Ohio,39,169,1
2020-03-21,Ohio,39,247,3
2020-03-22,Ohio,39,351,3
2020-03-23,Ohio,39,444,6
2020-03-24,Ohio,39,564,8
2020-03-25,Ohio,39,706,11
2020-03-26,Ohio,39,867,15
2020-03-27,Ohio,39,1144,22
2020-03-28,Ohio,39,1406,25
2020-03-29,Ohio,39,1665,30
2020-03-30,Ohio,39,1933,40
2020-03-31,Ohio,39,2199,55
2020-04-01,Ohio,39,2547,65
2020-04-02,Ohio,39,2902,81
2020-04-03,Ohio,39,3312,91
2020-04-04,Ohio,39,3739,102
2020-04-05,Ohio,39,4043,119
2020-04-06,Ohio,39,4450,142
2020-04-07,Ohio,39,4783,167
2020-04-08,Ohio,39,5149,193
2020-04-09,Ohio,39,5513,213
2020-04-10,Ohio,39,5879,231
2020-04-11,Ohio,39,6251,247
2020-04-12,Ohio,39,6605,253
2020-04-13,Ohio,39,6975,274
2020-04-14,Ohio,39,7280,324
2020-04-15,Ohio,39,7791,361
2020-04-16,Ohio,39,8414,389
2020-04-17,Ohio,39,9107,418
2020-04-18,Ohio,39,10222,451
2020-04-19,Ohio,39,11602,471
2020-04-20,Ohio,39,12919,509
2020-04-21,Ohio,39,13725,557
2020-04-22,Ohio,39,14117,610
2020-04-23,Ohio,39,14694,656
2020-04-24,Ohio,39,15169,690
2020-04-25,Ohio,39,15587,711
2020-04-26,Ohio,39,15963,728
2020-04-27,Ohio,39,16325,753
2020-04-28,Ohio,39,16769,799
2020-04-29,Ohio,39,17303,937
2020-04-30,Ohio,39,18027,975
2020-05-01,Ohio,39,18743,1002
2020-05-02,Ohio,39,19335,1021
2020-05-03,Ohio,39,19914,1038
2020-05-04,Ohio,39,20474,1056
2020-05-05,Ohio,39,20969,1135
2020-05-06,Ohio,39,21576,1225
2020-05-07,Ohio,39,22131,1271
2020-05-08,Ohio,39,23018,1306
2020-05-09,Ohio,39,23697,1331
2020-05-10,Ohio,39,24086,1341
2020-05-11,Ohio,39,24785,1357
2020-05-12,Ohio,39,25257,1436
2020-05-13,Ohio,39,25727,1483
2020-05-14,Ohio,39,26363,1534
2020-05-15,Ohio,39,26956,1581
2020-05-16,Ohio,39,27476,1610
2020-05-17,Ohio,39,27925,1625
2020-05-18,Ohio,39,28455,1657
2020-05-19,Ohio,39,28953,1720
2020-05-20,Ohio,39,29437,1781
2020-05-21,Ohio,39,30168,1836
2020-05-22,Ohio,39,30795,1872
2020-05-23,Ohio,39,31408,1956
2020-05-24,Ohio,39,31911,1969
2020-05-25,Ohio,39,32477,1987
2020-05-26,Ohio,39,33006,2002
2020-05-27,Ohio,39,33439,2044
